title,sinopse,genres,title_url
Pepe si Fifi,"
NBW wrestler Odin Starr (Dallas Graison) wrestles for a hobby while working at a grocery store and trying to figure out what he wants out of life. Meanwhile, he achieves a #1 Contender spot...                <a href=""/title/tt1849771/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0110807/
Two Fisted,"
Between the spirit of discovering and searching for adrenaline, this is the documented road trip of a bunch of young and talented pilots from the world of acro paragliding, who cross a ...                <a href=""/title/tt2664068/plotsummary"">See full summary</a> »
","
Action, Comedy, Romance            ",https://www.imdb.com/title/tt0027148/
Can I Recognize Your Soul,"
A drama about political prisoners playing soccer at Robben Island prison, where Nelson Mandela was held.","
Drama, Music, Mystery            ",https://www.imdb.com/title/tt6273224/
Basketball Documentary,"
A story set in Romania around the time after the revolution. An invalid befriends two brothers, Pepe and Fifi, who dream of becoming famous and rich, but neither of them manages to escape the tentacles of the mob.","
Sport            ",https://www.imdb.com/title/tt6850780/
Dribbling Fate,"
A fast-talking boxing manager and the somewhat hapless fighter he manages happen to run into a young man who was a good prizefighter in his day but is now out of the sport and has a ...                <a href=""/title/tt0027148/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0119122/
Albatross,"
As Christine tries to find a relief after her brother's death, she meets Alonzo at the neighborhood basketball court. After finding out that he lost his father 2 years prior, they became ...                <a href=""/title/tt6273224/plotsummary"">See full summary</a> »
","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt3128706/
Quel ragazzo della curva B,"
Story of the NBA from its inception to what it is today.","
Comedy, Sport            ",https://www.imdb.com/title/tt0093809/
Russia's Journey: Building the 2018 FIFA World Cup,"
Life has moved too fast for Mane. at the age of 50 he watches the slow sacrifice of his ideals. His wife, Lucy, has locked him in to a daily routine. His work in a small commercial shop and...                <a href=""/title/tt0119122/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt9662736/
Two Thoroughbreds,"
With big plans for the future, city boy Tommi chases his girlfriend to the Wild West-fjords. This summer is not going to be like he expected.","
Crime, Drama, Family            ",https://www.imdb.com/title/tt0032067/
Drafted,"
Nino is a mechanic, great fan of his hometown football team, the Naples. While the team is going to win its first championship, he will become leader of a fan club, finding problems with the local boss.","
Sport            ",https://www.imdb.com/title/tt10030518/
Untitled Muhammad Ali Project,"
Exclusive behind-the-scenes footage of what it takes to host a World Cup. This film tells Russia's story as it prepares to stage the world's premier sporting event, the FIFA World Cup. Shot during the period of 3.5 years, starting in 2015, filming took place around the host cities and their surroundings almost every month until the beginning of the competition in 2018.","
Drama, Sport            ",https://www.imdb.com/title/tt12728458/
Duel at the Mound,"
A baseball drama about two retired players who continue their ""duel"" at the mound, while they struggle to find their place in life.","
Drama, Sport            ",https://www.imdb.com/title/tt3534598/
Jonesy,"
        <a href=""/updates?update=tt12157352%3Aoutlines.add.1"">Add a Plot</a>
","
Drama, Sport            ",https://www.imdb.com/title/tt12157352/
Never Fall in Love,"
Betrayals, is a drama about two friends Monica and Sandy who are in love with the same man, pro football player James Williams. Sandy marries James first however Monica destroys her best ...                <a href=""/title/tt6097284/plotsummary"">See full summary</a> »
","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt6097284/
Racing Blood,"
A jockey transforms an injured colt into a champion Thoroughbred after saving it from the glue factory.","
Crime, Drama, Romance            ",https://www.imdb.com/title/tt0030648/
Joe Palooka Meets Humphrey,"
Joe and Anne go off on their honeymoon while Knobby books him into a charity fight which Lord Cecil tries to wreck.","
Comedy, Family, Sport            ",https://www.imdb.com/title/tt0042616/
Fighting Fate,"
The first of a series of twelve-proposed features starring ex-prizefighter Billy Sullivan. He plays a washed-up, drifting fighter, reduced to the job of a cook in a small-town diner. But ...                <a href=""/title/tt0132946/plotsummary"">See full summary</a> »
","
Action, Adventure, Romance            ",https://www.imdb.com/title/tt0132946/
Shred Bots the Movie,"
Less like robots and more like ""bro-bots"", this epic ensemble of Norwegian and Canadian riders are about to present you with a serious lesson in Kinematics: That's android terminology for ""...                <a href=""/title/tt4170394/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt4170394/
Pinned,"
In the comedy Pinned, three high schoolers are trying survive one week of high school, wrestle and get as many girls as they can along the way.","
Comedy, Sport            ",https://www.imdb.com/title/tt3451406/
