title,year,certificate,runtime,genre,synopsis,link
Voin,2015,Isn't Available,90 min, Sport ," Film tells about duty and life values, shown through the prism of the lives of two brothers: strong and proud people. The story of a family, of the wounds in the hearts that hurt for ... See full summary » ",https://www.imdb.com/title/tt4649814/
Uma Família Americana,2007,Isn't Available,105 min," Drama, Romance, Sport ", The dramatic impact W.W.II had in the home-front as U.S. Japanese families were uprooted from their daily lives and placed in internment camps in western States in the early 1940s.,https://www.imdb.com/title/tt0825225/
Duelo de Gigantes,2007,PG-13,104 min," Crime, Drama, Sport "," Gar is a high school journalist who covers the basketball team as it heads toward a state championship; when his best friend Matt, the team's star, is asked by a drug dealer to throw the big game, Gar inevitably gets caught in the middle.",https://www.imdb.com/title/tt0471005/
Amors baller,2011,Isn't Available,79 min," Comedy, Drama, Romance "," Lucas, a teenage boy, moves to a small town in Norway from Stockholm, Sweden. He falls for Susanne, who is on the girl's football team and is dating the captain of the boy's football team. ... See full summary » ",https://www.imdb.com/title/tt1695763/
Young Again,2022,Isn't Available,105 min," Drama, Sport "," American-born Asian graduate student, Eric Young, is lured back to college baseball field one final time, passing himself off as 10 years younger to try out for the Division 2 Volcanos.",https://www.imdb.com/title/tt1303678/
"Maradona, la mano di Dio",2007,Isn't Available,110 min," Biography, Drama, Sport "," The life of the former football player Diego Armando Maradona is recreated in this film, from his childhood up to his first heart attack and his firm decision of recovering himself, passing... See full summary » ",https://www.imdb.com/title/tt0465737/
Jornada de Agonia,1948,Isn't Available,91 min," Drama, Film-Noir, Sport ", A struggling artist becomes a New York City prizefighter in an attempt to win the affection of the ring promoter's night club singing sister.,https://www.imdb.com/title/tt0040963/
My Brother... Nikhil,2005,Isn't Available,120 min," Drama, Sport ", Famous swimmer Nikhil Kapoor (Suri) deals with the repercussions of announcing the fact that he has HIV/AIDS.,https://www.imdb.com/title/tt0419992/
La petite reine,2014,Isn't Available,108 min," Biography, Drama, Sport "," Julie, star of cycling, is two races to win the World Cup. It is the culmination of years of effort. Julie loves the spotlight. His entourage too. Encouraged by her coach and doctor, she ... See full summary » ",https://www.imdb.com/title/tt3025410/
Jätten,2016,Isn't Available,86 min," Drama, Sport ", Rikard is an autistic and severely deformed man who was separated from his mother at birth. Thirty years later he is convinced that he will get her back if only he wins the Scandinavian Championship of pétanque. He tries to do the impossible. His fragile physique and a harsh judging environment are not going to stop him. Plus there is a 200 foot giant on his side.,https://www.imdb.com/title/tt4135076/
O Cavalo Shergar,1999,Isn't Available,95 min," Crime, Drama, Romance "," When a young stable boy runs away from reform school, he befriends another fugitive, champion racehorse Shergar, kidnapped by the Irish Republican Army for ransom but now on the loose. Can the lad elude the abductors and rescue the horse?",https://www.imdb.com/title/tt0121744/
Steel Arena,1973,Isn't Available,98 min," Action, Drama, Sport "," Dusty Russell shows off his talent as the greatest daredevil on the circuit. Later, he awaits the biggest challenge of his career.",https://www.imdb.com/title/tt0070730/
Long Live Chainsaw,2021,Isn't Available,93 min, Sport ," Long Live Chainsaw from Red Bull Media House and Anthill Films, reveals the true story of the meteoric rise, untimely death and long-lasting legacy of Canadian downhill mountain bike legend... See full summary » ",https://www.imdb.com/title/tt16103248/
A Little Inside,1999,PG,95 min," Comedy, Drama, Family ", A professional baseball player tries to single-handedly raise his young daughter while pursuing his own dreams.,https://www.imdb.com/title/tt0256150/
Palombella rossa,1989,Isn't Available,89 min," Comedy, Sport "," Because of an accident, Michele (a leader of P.C.I. and a water-polo player) loses his memory. During one water-polo match, strange guys torment him; they want him to remember his past. As ... See full summary » ",https://www.imdb.com/title/tt0098055/
Feiticeiro Enfeitiçado,1937,Isn't Available,75 min," Comedy, Sport ", Some shady characters discover that a sad sack nightclub bus boy has the ability to predict outcomes of races and other events through astrology.,https://www.imdb.com/title/tt0029764/
Um Gato em Minha Vida,1951,Isn't Available,94 min," Comedy, Family, Sport "," Rich, eccentric T.J. Banner adopts a feral cat who becomes an affectionate pet. Then T.J. dies, leaving to Rhubarb most of his money and a pro baseball team, the Brooklyn Loons. When the ... See full summary » ",https://www.imdb.com/title/tt0043967/
A Grande Jogada,1983,Isn't Available,96 min," Comedy, Sport "," A hard-hitting, fast, sure-handed baseball player tries to break into the sport by applying for a spot on a minor-league team. The only problem is that the player is female, which engenders... See full summary » ",https://www.imdb.com/title/tt0085254/
Odin vdokh,2020,Isn't Available,97 min," Biography, Drama, Sport "," Following her divorce, Marina Gordeeva (40) thinks she'll never meet love again. Little does she know that one day, she'll find the love of her life in free diving, one of the most extreme ... See full summary » ",https://www.imdb.com/title/tt8291918/
Dil Bole Hadippa!,2009,Isn't Available,148 min," Comedy, Drama, Romance "," In a village where girls don't play cricket, Veera puts on a turban and beard and becomes Veer to fulfill her dreams and meets Rohan. And fun begins.",https://www.imdb.com/title/tt1202540/
True Blue,1996,R,118 min," Drama, Sport ", The story of the year the Oxford and Cambridge boat race changed from a gentleman's race to one where winning was everything.,https://www.imdb.com/title/tt0117973/
One Night in Istanbul,2014,Isn't Available,93 min," Comedy, Sport ", A screen adaptation of the hit play about the exploits of a group of Liverpool Football Club fans at the UEFA Champions League 2005 final in Istanbul.,https://www.imdb.com/title/tt1800351/
Somtum,2008,R,103 min," Action, Comedy, Sport ", An action movie about a 7-foot-tall docile man who learns Muy Thai and then uses his new skills to help solve a case of stolen diamonds.,https://www.imdb.com/title/tt1251761/
Wo ist Fred?,2006,Isn't Available,107 min," Comedy, Romance, Sport "," To catch a basketball from the favorite team of his girlfriend's spoiled son, Fred poses as a numb, wheelchair-bound fan. But when he catches the ball, he also catches the attention of ... See full summary » ",https://www.imdb.com/title/tt0487271/
Machan,2008,Isn't Available,109 min," Biography, Comedy, Drama "," A group of sad slum residents, living on the limits of society under immense pressure, find an invitation to a handball tournament in Bavaria.",https://www.imdb.com/title/tt1172522/
Flip Turn,,Isn't Available,Isn't Available," Drama, Family, Sport ", An autistic high school boy emulates the swim style of his Olympic gold medalist grandfather to become a swimming champion himself.,https://www.imdb.com/title/tt7974340/
Kennedy Club,2019,Isn't Available,120 min," Drama, Sport ", A kabaddi team faces several struggles while competing in a national-level championship.,https://www.imdb.com/title/tt10772876/
The Wild Rebels,1967,Isn't Available,90 min," Crime, Drama, Sport ", A stock car driver goes undercover as the wheel man for a motorcycle gang.,https://www.imdb.com/title/tt0062493/
Round of Your Life,2019,Isn't Available,91 min," Family, Sport "," Fifteen year-old Taylor Collins is a golf legacy. The son of a PGA veteran, the younger brother of a PGA rookie, he has all the talent in the world-but wants nothing to do with golf or the ... See full summary » ",https://www.imdb.com/title/tt5190578/
Treto poluvreme,2012,Isn't Available,113 min," Drama, History, Romance "," Dimitry hires German coach Rudolph Spitz to galvanize his ragtag team into the country's best football club, but then the first Nazi tanks roll in and Rebecca, a local banker's beautiful daughter, elopes with his star player.",https://www.imdb.com/title/tt2069100/
Sunset Park,2017,Isn't Available,90 min," Action, Crime, Drama "," Gino Sarcione, a boxer, is forced to take his fight outside the ring into the back alleys of Sunset Park to stand up for what's right and protect those he loves.",https://www.imdb.com/title/tt4875654/
Malevolence,2022,Isn't Available,Isn't Available," Action, Drama, Sport ", Miles is an aging man working in a modest restaurant for tourists in Rome. He can't remember who he is nor what happened to him: his mind is confused and he can no longer build anything ... See full summary » ,https://www.imdb.com/title/tt6708032/
The All-American Boy,1973,Isn't Available,118 min," Drama, Sport ", Episodic story in six acts (The Manly Art in Six Rounds) about young boxer Vic Bealer (played by Jon Voight) in search for some direction in his life.,https://www.imdb.com/title/tt0069689/
Bicemo prvaci sveta,2015,Isn't Available,127 min," Biography, Drama, Family "," The story about the founders of the famous Yugoslav Basketball School and the first gold medal at the Championships in Ljubljana in 1970, is based on real events and is dedicated to ... See full summary » ",https://www.imdb.com/title/tt4160726/
Tracktown,2016,Isn't Available,88 min," Drama, Sport "," A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.",https://www.imdb.com/title/tt5750534/
Ultrà,1991,Isn't Available,95 min," Drama, Sport "," The Brigatte Veneno is a fan group from the soccer club AS Roma. The next match is against Juventus Turin, the classic prestige duel. Principe, the former leader of the group, has been dismissed from jail a few days before.",https://www.imdb.com/title/tt0100835/
A História de Joe Louis,1953,Livre,88 min," Biography, Drama, Film-Noir "," The life and career of Heavyweight Champion Joe Louis, who held the title for 12 years--longer than any other boxer in history--and who had to not only battle opponents inside the ring and racism outside it.",https://www.imdb.com/title/tt0045936/
